query_label: 0 || retrieved_object_label: 0
query_label: 12 || retrieved_object_label: 12
query_label: 12 || retrieved_object_label: 12
query_label: 12 || retrieved_object_label: 12
query_label: 12 || retrieved_object_label: 29
query_label: 12 || retrieved_object_label: 34
query_label: 13 || retrieved_object_label: 13
query_label: 13 || retrieved_object_label: 13
query_label: 13 || retrieved_object_label: 13
query_label: 13 || retrieved_object_label: 13
query_label: 13 || retrieved_object_label: 13
query_label: 14 || retrieved_object_label: 36
query_label: 14 || retrieved_object_label: 14
query_label: 14 || retrieved_object_label: 14
query_label: 14 || retrieved_object_label: 39
query_label: 14 || retrieved_object_label: 14
query_label: 15 || retrieved_object_label: 15
query_label: 15 || retrieved_object_label: 10
query_label: 15 || retrieved_object_label: 37
query_label: 15 || retrieved_object_label: 37
query_label: 15 || retrieved_object_label: 10
query_label: 16 || retrieved_object_label: 16
query_label: 16 || retrieved_object_label: 36
query_label: 16 || retrieved_object_label: 16
query_label: 16 || retrieved_object_label: 36
query_label: 16 || retrieved_object_label: 12
query_label: 17 || retrieved_object_label: 17
query_label: 17 || retrieved_object_label: 17
query_label: 17 || retrieved_object_label: 17
query_label: 17 || retrieved_object_label: 3
query_label: 17 || retrieved_object_label: 27
query_label: 18 || retrieved_object_label: 18
query_label: 18 || retrieved_object_label: 18
query_label: 18 || retrieved_object_label: 18
query_label: 18 || retrieved_object_label: 18
query_label: 18 || retrieved_object_label: 18
query_label: 19 || retrieved_object_label: 19
query_label: 19 || retrieved_object_label: 32
query_label: 19 || retrieved_object_label: 19
query_label: 19 || retrieved_object_label: 5
query_label: 19 || retrieved_object_label: 19
query_label: 20 || retrieved_object_label: 20
query_label: 20 || retrieved_object_label: 20
query_label: 20 || retrieved_object_label: 20
query_label: 20 || retrieved_object_label: 20
query_label: 20 || retrieved_object_label: 20
query_label: 21 || retrieved_object_label: 28
query_label: 21 || retrieved_object_label: 28
query_label: 21 || retrieved_object_label: 21
query_label: 21 || retrieved_object_label: 25
query_label: 21 || retrieved_object_label: 39
query_label: 22 || retrieved_object_label: 22
query_label: 22 || retrieved_object_label: 22
query_label: 22 || retrieved_object_label: 22
query_label: 22 || retrieved_object_label: 22
query_label: 22 || retrieved_object_label: 22
query_label: 23 || retrieved_object_label: 14
query_label: 23 || retrieved_object_label: 14
query_label: 23 || retrieved_object_label: 23
query_label: 23 || retrieved_object_label: 14
query_label: 23 || retrieved_object_label: 16
query_label: 24 || retrieved_object_label: 24
query_label: 24 || retrieved_object_label: 24
query_label: 24 || retrieved_object_label: 4
query_label: 24 || retrieved_object_label: 4
query_label: 24 || retrieved_object_label: 11
query_label: 25 || retrieved_object_label: 23
query_label: 25 || retrieved_object_label: 21
query_label: 25 || retrieved_object_label: 36
query_label: 25 || retrieved_object_label: 23
query_label: 25 || retrieved_object_label: 21
query_label: 26 || retrieved_object_label: 19
query_label: 26 || retrieved_object_label: 15
query_label: 26 || retrieved_object_label: 15
query_label: 26 || retrieved_object_label: 26
query_label: 26 || retrieved_object_label: 15
query_label: 27 || retrieved_object_label: 27
query_label: 27 || retrieved_object_label: 27
query_label: 27 || retrieved_object_label: 16
query_label: 27 || retrieved_object_label: 27
query_label: 27 || retrieved_object_label: 16
query_label: 28 || retrieved_object_label: 28
query_label: 28 || retrieved_object_label: 28
query_label: 28 || retrieved_object_label: 28
query_label: 28 || retrieved_object_label: 28
query_label: 28 || retrieved_object_label: 28
query_label: 29 || retrieved_object_label: 29
query_label: 29 || retrieved_object_label: 36
query_label: 29 || retrieved_object_label: 36
query_label: 29 || retrieved_object_label: 31
query_label: 29 || retrieved_object_label: 30
query_label: 30 || retrieved_object_label: 30
query_label: 30 || retrieved_object_label: 30
query_label: 30 || retrieved_object_label: 16
query_label: 30 || retrieved_object_label: 30
query_label: 30 || retrieved_object_label: 30
query_label: 31 || retrieved_object_label: 31
query_label: 31 || retrieved_object_label: 15
query_label: 31 || retrieved_object_label: 10
query_label: 31 || retrieved_object_label: 26
query_label: 31 || retrieved_object_label: 26
query_label: 32 || retrieved_object_label: 32
query_label: 32 || retrieved_object_label: 32
query_label: 32 || retrieved_object_label: 32
query_label: 32 || retrieved_object_label: 32
query_label: 32 || retrieved_object_label: 32
query_label: 33 || retrieved_object_label: 33
query_label: 33 || retrieved_object_label: 33
query_label: 33 || retrieved_object_label: 33
query_label: 33 || retrieved_object_label: 33
query_label: 33 || retrieved_object_label: 33
query_label: 34 || retrieved_object_label: 34
query_label: 34 || retrieved_object_label: 34
query_label: 34 || retrieved_object_label: 34
query_label: 34 || retrieved_object_label: 16
query_label: 34 || retrieved_object_label: 23
query_label: 35 || retrieved_object_label: 35
query_label: 35 || retrieved_object_label: 35
query_label: 35 || retrieved_object_label: 35
query_label: 35 || retrieved_object_label: 35
query_label: 35 || retrieved_object_label: 35
query_label: 36 || retrieved_object_label: 36
query_label: 36 || retrieved_object_label: 36
query_label: 36 || retrieved_object_label: 36
query_label: 36 || retrieved_object_label: 36
query_label: 36 || retrieved_object_label: 16
query_label: 37 || retrieved_object_label: 32
query_label: 37 || retrieved_object_label: 19
query_label: 37 || retrieved_object_label: 32
query_label: 37 || retrieved_object_label: 32
query_label: 37 || retrieved_object_label: 37
query_label: 38 || retrieved_object_label: 38
query_label: 38 || retrieved_object_label: 23
query_label: 38 || retrieved_object_label: 27
query_label: 38 || retrieved_object_label: 14
query_label: 38 || retrieved_object_label: 38
query_label: 39 || retrieved_object_label: 39
query_label: 39 || retrieved_object_label: 39
query_label: 39 || retrieved_object_label: 4
query_label: 39 || retrieved_object_label: 39
query_label: 39 || retrieved_object_label: 23
